scrape_time_utc,event_id,home_team,away_team,bookmaker,player,side,line,american_odds,implied_probability
2026-05-25T22:29:04.260261+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Mikal Bridges,Under,14.5,-113,0.5305164319248826
2026-05-25T22:29:04.260266+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Donovan Mitchell,Over,26.5,-115,0.5348837209302325
2026-05-25T22:29:04.260271+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Donovan Mitchell,Under,26.5,-111,0.5260663507109005
2026-05-25T22:29:04.260276+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Miles McBride,Over,5.5,102,0.49504950495049505
2026-05-25T22:29:04.260280+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Miles McBride,Under,5.5,-130,0.5652173913043478
2026-05-25T22:29:04.260285+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Jalen Brunson,Over,26.5,-113,0.5305164319248826
2026-05-25T22:29:04.260289+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Jalen Brunson,Under,26.5,-113,0.5305164319248826
2026-05-25T22:29:04.260294+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Karl-Anthony Towns,Over,17.5,-122,0.5495495495495496
2026-05-25T22:29:04.260299+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Karl-Anthony Towns,Under,17.5,-104,0.5098039215686274
2026-05-25T22:29:04.260303+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Jose Alvarado,Over,1.5,-130,0.5652173913043478
2026-05-25T22:29:04.260307+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Jose Alvarado,Under,1.5,102,0.49504950495049505
2026-05-25T22:29:04.260314+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Jarrett Allen,Over,12.5,-125,0.5555555555555556
2026-05-25T22:29:04.260318+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Jarrett Allen,Under,12.5,-102,0.504950495049505
2026-05-25T22:29:04.260323+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Evan Mobley,Over,16.5,-111,0.5260663507109005
2026-05-25T22:29:04.260329+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Evan Mobley,Under,16.5,-115,0.5348837209302325
