threshold,bet_side,n_bets,hit_rate,avg_return_per_bet,total_units,return_vol,per_bet_sharpe,max_drawdown_units,avg_abs_edge,avg_model_prob_over,avg_market_prob_over,avg_points_line,meets_min_bets,diagnostic_type,scoring_role,line_bucket,market_prob_bucket,abs_edge_bucket,minutes_bucket,contact_bucket,matchup_pts_bucket,matchup_contact_bucket
0.05,,314.0,0.5318471337579618,-0.0025008879692695117,-0.7852788223506266,0.9385759993656706,-0.0026645556363679847,-16.41123782713395,0.07784526458599213,0.4673326045826568,0.4987350289791742,11.219745222929935,True,role,rotation,,,,,,,
0.05,,252.0,0.5317460317460317,-0.0031335767523188347,-0.7896613415843463,0.9380549259770908,-0.003340504554202792,-12.88022904754501,0.10193846987863811,0.40959920499309505,0.49818279293088075,24.964285714285715,True,line,,star_line,,,,,,
0.025,,455.0,0.5318681318681319,-0.0034673584940859026,-1.5776481148090857,0.936861733282974,-0.003701035457959735,-17.065976225736197,0.07437313203341796,0.45282702159872296,0.49891981429576865,20.414285714285715,True,minutes,,,,,heavy_minutes,,,
0.075,,141.0,0.5319148936170213,-0.004686447041481113,-0.6607890328488368,0.9379810801276134,-0.004996312975570377,-10.045539134714192,0.10515647022893831,0.4245090077770155,0.4954777276211523,16.06737588652482,True,matchup_contact,,,,,,,,"(-0.803, -0.0333]"
0.025,,263.0,0.532319391634981,-0.00515486900653305,-1.355730548718192,0.9362444512604179,-0.005505900728803587,-18.239851423254112,0.053243257616015005,0.5152569391141062,0.5016251119598931,7.35171102661597,True,line,,low_line,,,,,,
0.05,,233.0,0.5278969957081545,-0.009606011242931051,-2.238200619602935,0.93947206744412,-0.010224903513166366,-18.823644760511424,0.1204255542944006,0.4079872440138922,0.4985589923225462,19.09227467811159,True,edge,,,,edge_10_15,,,,
0.025,,233.0,0.5278969957081545,-0.009606011242931051,-2.238200619602935,0.93947206744412,-0.010224903513166366,-18.823644760511424,0.1204255542944006,0.4079872440138922,0.4985589923225462,19.09227467811159,True,edge,,,,edge_10_15,,,,
0.075,,233.0,0.5278969957081545,-0.009606011242931051,-2.238200619602935,0.93947206744412,-0.010224903513166366,-18.823644760511424,0.1204255542944006,0.4079872440138922,0.4985589923225462,19.09227467811159,True,edge,,,,edge_10_15,,,,
0.1,,233.0,0.5278969957081545,-0.009606011242931051,-2.238200619602935,0.93947206744412,-0.010224903513166366,-18.823644760511424,0.1204255542944006,0.4079872440138922,0.4985589923225462,19.09227467811159,True,edge,,,,edge_10_15,,,,
0.05,,281.0,0.5231316725978647,-0.014890298255956586,-4.1841738099238,0.9431517882231295,-0.01578780684285132,-13.26646824306954,0.08521552316316612,0.4360878562164634,0.4993289294076729,17.47508896797153,True,contact,,,,,,"(0.0936, 0.134]",,
0.025,,467.0,0.5246252676659529,-0.015042091169479473,-7.0246565761469135,0.939720572986522,-0.016006982928631928,-30.205614335369507,0.06290426980302782,0.4590793916677551,0.5004483138333654,15.542826552462527,True,matchup_contact,,,,,,,,"(0.633, 6.1]"
0.1,,115.0,0.5217391304347826,-0.017812022809027772,-2.0483826230381936,0.945148016276289,-0.01884574955698886,-13.418735851259312,0.13616705033777707,0.3728450534274284,0.49911188957874286,25.67391304347826,True,line,,star_line,,,,,,
0.05,,307.0,0.5244299674267101,-0.018817070839002983,-5.776840747573916,0.9367201453627264,-0.02008825253962745,-18.380364321779783,0.09239538022252634,0.43716885384760973,0.4981768101314877,21.161237785016286,True,minutes,,,,,heavy_minutes,,,
0.05,Over,220.0,0.5227272727272727,-0.022779462108581377,-5.011481663887903,0.9371550478602239,-0.02430703666441641,-16.93727540889652,0.07569229677594852,0.5795362979955225,0.503844001219574,12.145454545454545,True,side,,,,,,,,
0.075,,238.0,0.5210084033613446,-0.023343134918382354,-5.555666110575,0.9393478547213189,-0.024850362728839875,-15.626193379883112,0.10655455539745227,0.42274375324367114,0.4993699458635572,17.794117647058822,True,minutes,,,,,starter_minutes,,,
0.025,,421.0,0.517814726840855,-0.025930539417631352,-10.916757094822799,0.9421562424628038,-0.027522546950226344,-32.68434191341431,0.07231555926981582,0.4567457521356882,0.500462924507644,18.02731591448931,True,matchup_contact,,,,,,,,"(-4.7010000000000005, -0.803]"
0.1,,94.0,0.5212765957446809,-0.02596552566586567,-2.440759412591373,0.9392192248862407,-0.02764586262489532,-8.357676171930128,0.12635970098873778,0.394837767115375,0.49867664591873534,18.48936170212766,True,line,,high_line,,,,,,
0.05,,273.0,0.5164835164835165,-0.028477430055538176,-7.774338405161922,0.9427901004139122,-0.030205482687011412,-21.944194661986785,0.0916507391430635,0.44041046141783347,0.5001435419031807,19.4010989010989,True,matchup_contact,,,,,,,,"(-4.7010000000000005, -0.803]"
0.05,,363.0,0.5179063360881543,-0.02907155068678628,-10.55297289930342,0.9392796816400718,-0.030950899135840544,-28.308430314585472,0.07659658904689551,0.4558498716241773,0.4994860734302303,11.90495867768595,True,line,,mid_line,,,,,,
0.05,Under,844.0,0.5165876777251185,-0.031571446803433496,-26.64630110209787,0.9383233451159041,-0.033646660256048205,-36.43503494159013,0.08805628235707046,0.4097260482140533,0.49778233057112375,17.578199052132703,True,side,,,,,,,,
0.075,,126.0,0.5158730158730159,-0.03245745439842913,-4.08963925420207,0.9419781454730441,-0.034456695788976706,-9.355861364961296,0.10809515454699803,0.4304092135039102,0.5014367161104085,17.214285714285715,True,matchup_pts,,,,,,,"(1.232, 10.45]",
